,date,color -- streamlit-generated,value -- streamlit-generated
370,2023-01-07T00:00:00.000,observed,2762208
371,2023-01-08T00:00:00.000,observed,2782080.0000000005
372,2023-01-09T00:00:00.000,observed,2846016
373,2023-01-10T00:00:00.000,observed,2823552
374,2023-01-11T00:00:00.000,observed,2818368
375,2023-01-12T00:00:00.000,observed,2742336
376,2023-01-13T00:00:00.000,observed,2769984
377,2023-01-14T00:00:00.000,observed,5407776
378,2023-01-15T00:00:00.000,observed,3512160
379,2023-01-16T00:00:00.000,observed,3316032
380,2023-01-17T00:00:00.000,observed,2812319.9999999995
381,2023-01-18T00:00:00.000,observed,2834784
382,2023-01-19T00:00:00.000,observed,2848608
383,2023-01-20T00:00:00.000,observed,2792448
384,2023-01-21T00:00:00.000,observed,2744928
385,2023-01-22T00:00:00.000,observed,2791584
386,2023-01-23T00:00:00.000,observed,3216671.9999999995
387,2023-01-24T00:00:00.000,observed,2875392
388,2023-01-25T00:00:00.000,observed,2717280
389,2023-01-26T00:00:00.000,observed,2670624
390,2023-01-27T00:00:00.000,observed,2735424
391,2023-01-28T00:00:00.000,observed,2759616
392,2023-01-29T00:00:00.000,observed,2715552
393,2023-01-30T00:00:00.000,observed,2795904
394,2023-01-31T00:00:00.000,observed,2766528.0000000005
395,2023-02-01T00:00:00.000,observed,2787264
396,2023-02-02T00:00:00.000,observed,2844288
397,2023-02-03T00:00:00.000,observed,2876256
398,2023-02-04T00:00:00.000,observed,2859840
399,2023-02-05T00:00:00.000,observed,2827871.9999999995
400,2023-02-06T00:00:00.000,observed,2820960
401,2023-02-07T00:00:00.000,observed,3493152
402,2023-02-08T00:00:00.000,observed,3435264
403,2023-02-09T00:00:00.000,observed,3189023.9999999995
404,2023-02-10T00:00:00.000,observed,3506112
405,2023-02-11T00:00:00.000,observed,3081023.9999999995
406,2023-02-12T00:00:00.000,observed,3005856
407,2023-02-13T00:00:00.000,observed,4908384
408,2023-02-14T00:00:00.000,observed,4083264
409,2023-02-15T00:00:00.000,observed,3852576.0000000005
410,2023-02-16T00:00:00.000,observed,3437856
411,2023-02-17T00:00:00.000,observed,3150144
412,2023-02-18T00:00:00.000,observed,3287519.9999999995
413,2023-02-19T00:00:00.000,observed,5550336
414,2023-02-20T00:00:00.000,observed,5563296
415,2023-02-21T00:00:00.000,observed,4467744
416,2023-02-22T00:00:00.000,observed,4042656
417,2023-02-23T00:00:00.000,observed,3986496
418,2023-02-24T00:00:00.000,observed,3729888
419,2023-02-25T00:00:00.000,observed,3513023.9999999995
420,2023-02-26T00:00:00.000,observed,3184704
421,2023-02-27T00:00:00.000,observed,3058560
422,2023-02-28T00:00:00.000,observed,2934144
423,2023-03-01T00:00:00.000,observed,3138048
424,2023-03-02T00:00:00.000,observed,3329856
425,2023-03-03T00:00:00.000,observed,2865023.9999999995
426,2023-03-04T00:00:00.000,observed,2795904
427,2023-03-05T00:00:00.000,observed,2721600
428,2023-03-06T00:00:00.000,observed,2724192
429,2023-03-07T00:00:00.000,observed,2766528.0000000005
430,2023-03-08T00:00:00.000,observed,2820960
431,2023-03-09T00:00:00.000,observed,2820960
432,2023-03-10T00:00:00.000,observed,2737152
433,2023-03-11T00:00:00.000,observed,2820960
434,2023-03-12T00:00:00.000,observed,2957471.9999999995
435,2023-03-13T00:00:00.000,observed,3211488
436,2023-03-14T00:00:00.000,observed,2855519.9999999995
437,2023-03-15T00:00:00.000,observed,2816640
438,2023-03-16T00:00:00.000,observed,2876256
439,2023-03-17T00:00:00.000,observed,2933280.0000000005
440,2023-03-18T00:00:00.000,observed,3609792
441,2023-03-19T00:00:00.000,observed,2755296
442,2023-03-20T00:00:00.000,observed,2782944
443,2023-03-21T00:00:00.000,observed,4534272
444,2023-03-22T00:00:00.000,observed,5969376
445,2023-03-23T00:00:00.000,observed,4524768
446,2023-03-24T00:00:00.000,observed,4009823.9999999995
447,2023-03-25T00:00:00.000,observed,4405536
448,2023-03-26T00:00:00.000,observed,6322752.000000001
449,2023-03-27T00:00:00.000,observed,5454432
450,2023-03-28T00:00:00.000,observed,4417632
451,2023-03-29T00:00:00.000,observed,3871584
452,2023-03-30T00:00:00.000,observed,3537216
453,2023-03-31T00:00:00.000,observed,3286656
454,2023-04-01T00:00:00.000,observed,3088800
455,2023-04-02T00:00:00.000,observed,2906496
456,2023-04-03T00:00:00.000,observed,2830464
457,2023-04-04T00:00:00.000,observed,3033504
458,2023-04-05T00:00:00.000,observed,2909952
459,2023-04-06T00:00:00.000,observed,2855519.9999999995
460,2023-04-07T00:00:00.000,observed,5494176
461,2023-04-08T00:00:00.000,observed,4608576
462,2023-04-09T00:00:00.000,observed,3863808
463,2023-04-10T00:00:00.000,observed,3546719.9999999995
464,2023-04-11T00:00:00.000,observed,3463776.0000000005
465,2023-04-12T00:00:00.000,observed,3919968
466,2023-04-13T00:00:00.000,observed,3505248
467,2023-04-14T00:00:00.000,observed,3655584
468,2023-04-15T00:00:00.000,observed,8606304
469,2023-04-16T00:00:00.000,observed,8347104
