day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
204,4918312089.030262,43094109.64591325,20650452.314194392,27089343.567951374,27681183.533589326,0.0,0.0,0.0
205,4918928400.594475,43500449.79943252,6216823.270408643,17333399.792537797,14698506.665850304,0.0,0.0,0.0
206,4919528545.802079,43760450.79632059,3510501.367779999,11665877.57620306,9229575.614483744,0.0,0.0,0.0
207,4920119229.437123,43935438.959963635,1557317.051233,7135572.57142514,5190565.4180927705,0.0,0.0,0.0
208,4920706802.3756275,44042472.54853501,4672368.75555,7591369.559271644,6919422.3121189205,0.0,0.0,0.0
209,4921297302.302087,44156343.091924086,6102763.77823,9064389.905683108,8699905.27678296,0.0,0.0,0.0
210,4921896490.133121,44292308.940509334,2012213.2954599997,6219736.696429622,5028499.964443363,0.0,0.0,0.0
211,4922509882.5791855,44385604.99095578,1547803.761496,4403191.433378515,3515773.5491090785,0.0,0.0,0.0
212,4923142781.232093,44451652.862456456,1745826.2119200004,3686506.4209154723,3137832.0535705537,0.0,0.0,0.0
213,4923800298.527063,44506950.458770186,8236671.80958,9019820.089688584,9654963.91425493,0.0,0.0,0.0
214,4924487380.893079,44642247.76011551,3511284.317269,7516215.541996157,11151384.318494476,0.0,0.0,0.0
215,4925208829.3737335,40290766.2172339,1053692.3138734996,4605737.972876117,3497636.9690314536,0.0,0.0,0.0
216,4925969317.972418,40359852.28682704,9151812.94139,10271896.20833591,10851503.680866528,0.0,0.0,0.0
217,4926773409.950142,40513930.72995208,8038711.83389,12137045.038303724,11788572.18194539,0.0,0.0,0.0
218,4927625572.281313,40695986.40552664,13321879.077539999,17693953.325712916,17805563.62675219,0.0,0.0,0.0
219,4918427720.512803,40961395.705412336,6837597.6454799995,14784197.43194824,13001251.117995324,0.0,0.0,0.0
220,4849895791.245036,41183158.66689156,916136.8408770002,8125605.131801207,5682116.140643713,0.0,0.0,0.0
221,4825759756.181182,41305042.743868575,364504.17151060014,4300768.415743391,2754492.757154283,0.0,0.0,0.0
222,4862356755.58755,41369554.27010473,6658131.918466002,7938370.227802262,8078439.725514659,0.0,0.0,0.0
223,4866129020.585622,41488629.82352176,11105587.169135,13615744.01180311,14089102.444997078,0.0,0.0,0.0
224,4866120846.7571,41692865.98369881,5965972.900970001,11939585.616979372,10752425.929033266,0.0,0.0,0.0
225,4854278503.17146,41871959.7679535,1042922.5478330003,6764423.405282384,4910665.312326438,0.0,0.0,0.0
226,4887030334.934365,41973426.11903273,2351797.1592840003,5374201.4015003685,4442419.342439723,0.0,0.0,0.0
227,4938161738.194561,42054039.14005524,614616.0974101999,3171621.1661087805,2268780.4925547717,0.0,0.0,0.0
228,4939726568.184444,42101613.45754687,374073.4006062,1881696.7184949024,1308857.5224114116,0.0,0.0,0.0
229,4941385013.0036125,42129838.908324294,140148.63510070002,1044769.3940901022,680011.3500732947,0.0,0.0,0.0
230,4943141045.617274,42145510.44923565,3227650.60837,3338617.3102641497,3626769.089408921,0.0,0.0,0.0
231,4944998626.382251,42195589.70888961,1275012.3411512994,2752540.3299378334,2446944.3278262913,0.0,0.0,0.0
232,4946961704.699624,42236877.813838676,1014451.7751019999,2237171.4234055383,1931272.2546074889,0.0,0.0,0.0
233,4949034220.28197,42270435.38518976,14956583.754520003,14194744.752828714,16169894.072508467,0.0,0.0,0.0
234,4951220104.072224,42483356.55648219,38434761.2607524,40598970.43362181,44649808.38363674,0.0,0.0,0.0
235,4705777879.017799,43092341.11298651,62440261.81802945,68659076.21212448,74877848.49926953,9042.707093777937,247745399.82953253,0.0
236,4871459694.007746,44122227.25616838,26185678.994741313,44629165.619712345,43568790.33899642,0.0,0.0,0.0
237,4875025642.84403,44791664.74046407,12770449.287536068,30392454.26829977,31499939.778518043,0.0,0.0,0.0
238,4878618956.350286,40768385.08044216,13309074.63609,26810272.20646923,23855359.794589944,0.0,0.0,0.0
239,4882253690.313487,41170539.1635392,8081864.025159999,20420030.051467344,16982549.75042837,0.0,0.0,0.0
240,4885942912.210032,41476839.61431121,2029294.9529729998,11919101.56208504,8471699.002217257,0.0,0.0,0.0
241,4889698801.183835,41655626.13774249,3668157.222735001,9119025.937444624,7297534.873545147,0.0,0.0,0.0
242,4893532737.712279,41792411.52680416,15559993.23779,18132859.03807118,18836372.57316637,0.0,0.0,0.0
243,4897455383.990159,42064404.41237523,21323752.189673554,27424143.327822603,27988511.269512296,0.0,0.0,0.0
244,4901476755.958582,42475766.56229257,17922828.12887687,27579179.018920623,26726454.789846756,0.0,0.0,0.0
245,4905606287.813043,42889454.24757638,11681738.273830567,23087904.53319481,20792063.316221498,0.0,0.0,0.0
246,4909852889.741285,43235772.8155743,7142777.076353,17744489.247365765,14903703.576320473,0.0,0.0,0.0
247,4914224999.566419,43501940.15428479,13742751.49526,20861782.907449573,19791347.385132164,0.0,0.0,0.0
248,4918730628.903137,43814866.897896536,6916610.909869999,16429781.506626034,13947465.979473362,0.0,0.0,0.0
249,4923377404.373922,44061313.62049592,12670791.583560001,19258447.95734212,18283555.771891847,0.0,0.0,0.0
